Title,Authors,Publication Year,Total Citations,Average per Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
RNA-Seq: a revolutionary tool for transcriptomics,"Wang, Zhong; Gerstein, Mark; Snyder, Michael",2009,5424,493.09,0,0,0,0,0,0,0,0,0,69,223,341,469,579,699,702,717,685
Network biology: Understanding the cell's functional organization,"Barabasi, AL; Oltvai, ZN",2004,4202,262.63,0,0,0,0,43,158,204,232,248,326,285,316,359,313,335,317,329,319
The fundamental role of epigenetic events in cancer,"Jones, PA; Baylin, SB",2002,3855,214.17,0,0,22,158,190,266,286,297,262,263,284,292,270,237,245,205,184,195
APPLICATIONS OF NEXT-GENERATION SEQUENCING Sequencing technologies - the next generation,"Metzker, Michael L.",2010,3395,339.5,0,0,0,0,0,0,0,0,0,0,148,343,444,408,438,448,433,346
Micrornas: Small RNAs with a big role in gene regulation,"He, L; Hannon, GJ",2004,3343,208.94,0,0,0,0,10,86,89,94,119,144,177,206,265,285,80,280,390,470
Mechanisms of post-transcriptional regulation by microRNAs: are the answers in sight?,"Filipowicz, Witold; Bhattacharyya, Suvendra N.; Sonenberg, Nahum",2008,3175,264.58,0,0,0,0,0,0,0,0,97,252,273,292,324,320,336,304,287,271
Long non-coding RNAs: insights into functions,"Mercer, Tim R.; Dinger, Marcel E.; Mattick, John S.",2009,2586,235.09,0,0,0,0,0,0,0,0,0,22,102,114,117,184,234,291,372,415
"The widespread regulation of microRNA biogenesis, function and decay","Krol, Jacek; Loedige, Inga; Filipowicz, Witold",2010,2279,227.9,0,0,0,0,0,0,0,0,0,0,6,144,242,254,324,292,283,307
"Functions of DNA methylation: islands, start sites, gene bodies and beyond","Jones, Peter A.",2012,2177,272.13,0,0,0,0,0,0,0,0,0,0,0,0,27,150,278,314,396,396
Non-coding RNAs in human disease,"Esteller, Manel",2011,1966,218.44,0,0,0,0,0,0,0,0,0,0,0,0,88,222,232,265,301,338
Causes and consequences of microRNA dysregulation in cancer,"Croce, Carlo M.",2009,1920,174.55,0,0,0,0,0,0,0,0,0,3,137,173,191,204,229,234,223,243
