Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,DOI,Total Citations,Average per Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gene Ontology: tool for the unification of biology,"Ashburner, M; Ball, CA; Blake, JA; Botstein, D; Butler, H; Cherry, JM; Davis, AP; Dolinski, K; Dwight, SS; Eppig, JT; Harris, MA; Hill, DP; Issel-Tarver, L; Kasarskis, A; Lewis, S; Matese, JC; Richardson, JE; Ringwald, M; Rubin, GM; Sherlock, G",Gene Ontology Consortium,,,NATURE GENETICS,May-00,2000,25,1,25,29,,10.1038/75556,17451,872.55,0,0,0,13,62,147,251,397,540,629,737,871,999,1120,1151,1209,1295,1406,1471,1391,1471
Principal components analysis corrects for stratification in genome-wide association studies,"Price, Alkes L.; Patterson, Nick J.; Plenge, Robert M.; Weinblatt, Michael E.; Shadick, Nancy A.; Reich, David",,,,NATURE GENETICS,Aug-06,2006,38,8,904,909,,10.1038/ng1847,4954,353.86,0,0,0,0,0,0,0,0,0,5,58,137,259,368,416,484,463,498,524,482,506
A framework for variation discovery and genotyping using next-generation DNA sequencing data,"DePristo, Mark A.; Banks, Eric; Poplin, Ryan; Garimella, Kiran V.; Maguire, Jared R.; Hartl, Christopher; Philippakis, Anthony A.; del Angel, Guillermo; Rivas, Manuel A.; Hanna, Matt; McKenna, Aaron; Fennell, Tim J.; Kernytsky, Andrew M.; Sivachenko, Andrey Y.; Cibulskis, Kristian; Gabriel, Stacey B.; Altshuler, David; Daly, Mark J.",,,,NATURE GENETICS,May-11,2011,43,5,491,+,,10.1038/ng.806,4235,470.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,180,316,518,656,711,745
Generalized lacZ expression with the ROSA26 Cre reporter strain,"Soriano, P",,,,NATURE GENETICS,Jan-99,1999,21,1,70,71,,10.1038/5007,3753,178.71,0,0,5,40,55,91,90,142,177,205,235,284,280,268,308,308,255,249,234,193,155
PGC-1 alpha-responsive genes involved in oxidative phosphorylation are coordinately downregulated in human diabetes,"Mootha, VK; Lindgren, CM; Eriksson, KF; Subramanian, A; Sihag, S; Lehar, J; Puigserver, P; Carlsson, E; Ridderstrale, M; Laurila, E; Houstis, N; Daly, MJ; Patterson, N; Mesirov, JP; Golub, TR; Tamayo, P; Spiegelman, B; Lander, ES; Hirschhorn, JN; Altshuler, D; Groop, LC",,,,NATURE GENETICS,Jul-03,2003,34,3,267,273,,10.1038/ng1180,3624,213.18,0,0,0,0,0,0,7,72,152,181,193,211,217,253,235,256,230,245,244,270,319
Epigenetic regulation of gene expression: how the genome integrates intrinsic and environmental signals,"Jaenisch, R; Bird, A",,,,NATURE GENETICS,Mar-03,2003,33,,245,254,,10.1038/ng1089,3426,201.53,0,0,0,0,0,0,35,127,143,157,172,159,141,205,232,241,248,272,241,310,332
Combinatorial microRNA target predictions,"Krek, A; Grun, D; Poy, MN; Wolf, R; Rosenberg, L; Epstein, EJ; MacMenamin, P; da Piedade, I; Gunsalus, KC; Stoffel, M; Rajewsky, N",,,,NATURE GENETICS,May-05,2005,37,5,495,500,,10.1038/ng1536,3263,217.53,0,0,0,0,0,0,0,0,32,90,161,193,245,282,301,285,295,327,309,242,226
"Rett syndrome is caused by mutations in X-linked MECP2, encoding methyl-CpG-binding protein 2","Amir, RE; Van den Veyver, IB; Wan, M; Tran, CQ; Francke, U; Zoghbi, HY",,,,NATURE GENETICS,Oct-99,1999,23,2,185,188,,10.1038/13810,2874,136.86,0,0,8,71,136,86,91,86,100,117,112,116,133,158,195,179,207,209,195,222,194
Minimum information about a microarray experiment (MIAME) - toward standards for microarray data,"Brazma, A; Hingamp, P; Quackenbush, J; Sherlock, G; Spellman, P; Stoeckert, C; Aach, J; Ansorge, W; Ball, CA; Causton, HC; Gaasterland, T; Glenisson, P; Holstege, FCP; Kim, IF; Markowitz, V; Matese, JC; Parkinson, H; Robinson, A; Sarkans, U; Schulze-Kremer, S; Stewart, J; Taylor, R; Vilo, J; Vingron, M",,,,NATURE GENETICS,Dec-01,2001,29,4,365,371,,10.1038/ng1201-365,2728,143.58,0,0,0,0,1,58,129,178,238,260,232,208,210,195,188,186,132,119,92,101,87
Ala30Pro mutation in the gene encoding alpha-synuclein in Parkinson's disease,"Kruger, R; Kuhn, W; Muller, T; Woitalla, D; Graeber, M; Kosel, S; Przuntek, H; Epplen, JT; Schols, L; Riess, O",,,,NATURE GENETICS,Feb-98,1998,18,2,106,108,,10.1038/ng0298-106,2700,122.73,0,49,86,116,137,139,154,149,133,141,115,150,136,134,153,131,152,112,127,96,124
Merlin-rapid analysis of dense genetic maps using sparse gene flow trees,"Abecasis, GR; Cherny, SS; Cookson, WO; Cardon, LR",,,,NATURE GENETICS,Jan-02,2002,30,1,97,101,,10.1038/ng786,2527,140.39,0,0,0,0,0,8,65,120,189,174,236,226,247,197,207,156,153,134,140,101,81
"Quantitative expression of Oct-3/4 defines differentiation, dedifferentiation or self-renewal of ES cells","Niwa, H; Miyazaki, J; Smith, AG",,,,NATURE GENETICS,Apr-00,2000,24,4,372,376,,10.1038/74199,2462,123.1,0,0,0,11,32,43,66,108,145,155,147,170,176,180,198,199,172,179,139,104,116
"Identification of a candidate tumour suppressor gene, MMAC1, at chromosome 10q23.3 that is mutated in multiple advanced cancers","Steck, PA; Pershouse, MA; Jasser, SA; Yung, WKA; Lin, H; Ligon, AH; Langford, LA; Baumgard, ML; Hattier, T; Davis, T; Frye, C; Hu, R; Swedlund, B; Teng, DHF; Tavtigian, SV",,,,NATURE GENETICS,Apr-97,1997,15,4,356,362,,10.1038/ng0497-356,2181,94.83,48,169,156,161,152,149,118,103,90,92,97,87,89,76,86,71,86,80,84,52,53
Reanalysis and revision of the Cambridge reference sequence for human mitochondrial DNA,"Andrews, RM; Kubacka, I; Chinnery, PF; Lightowlers, RN; Turnbull, DM; Howell, N",,,,NATURE GENETICS,Oct-99,1999,23,2,147,147,,,1983,94.43,0,0,0,17,30,41,63,72,64,85,91,120,116,138,131,145,126,123,143,135,156
"The immune dysregulation, polyendocrinopathy, enteropathy, X-linked syndrome (IPEX) is caused by mutations of FOXP3","Bennett, CL; Christie, J; Ramsdell, F; Brunkow, ME; Ferguson, PJ; Whitesell, L; Kelly, TE; Saulsbury, FT; Chance, PF; Ochs, HD",,,,NATURE GENETICS,Jan-01,2001,27,1,20,21,,,1952,102.74,0,0,0,0,20,17,22,46,84,111,129,137,138,134,150,155,132,123,126,122,128
Common SNPs explain a large proportion of the heritability for human height,"Yang, Jian; Benyamin, Beben; McEvoy, Brian P.; Gordon, Scott; Henders, Anjali K.; Nyholt, Dale R.; Madden, Pamela A.; Heath, Andrew C.; Martin, Nicholas G.; Montgomery, Grant W.; Goddard, Michael E.; Visscher, Peter M.",,,,NATURE GENETICS,Jul-10,2010,42,7,565,U131,,10.1038/ng.608,1917,191.7,0,0,0,0,0,0,0,0,0,0,0,0,0,33,150,184,227,262,264,224,249
A general framework for estimating the relative pathogenicity of human genetic variants,"Kircher, Martin; Witten, Daniela M.; Jain, Preti; O'Roak, Brian J.; Cooper, Gregory M.; Shendure, Jay",,,,NATURE GENETICS,Mar-14,2014,46,3,310,+,,10.1038/ng.2892,1887,314.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,215,332,451
Detection of large-scale variation in the human genome,"Iafrate, AJ; Feuk, L; Rivera, MN; Listewnik, ML; Donahoe, PK; Qi, Y; Scherer, SW; Lee, C",,,,NATURE GENETICS,Sep-04,2004,36,9,949,951,,10.1038/ng1416,1865,116.56,0,0,0,0,0,0,0,4,94,141,173,185,176,203,167,157,152,118,108,58,69
Effective targeted gene 'knockdown' in zebrafish,"Nasevicius, A; Ekker, SC",,,,NATURE GENETICS,Oct-00,2000,26,2,216,220,,10.1038/79951,1838,91.9,0,0,0,3,73,132,118,159,128,120,113,134,111,109,108,102,99,78,69,63,47
Methylated DNA and MeCP2 recruit histone deacetylase to repress transcription,"Jones, PL; Veenstra, GJC; Wade, PA; Vermaak, D; Kass, SU; Landsberger, N; Strouboulis, J; Wolffe, AP",,,,NATURE GENETICS,Jun-98,1998,19,2,187,191,,10.1038/561,1825,82.95,0,23,121,131,141,113,106,83,93,73,76,78,76,66,102,80,80,82,85,74,62
Distinct and predictive chromatin signatures of transcriptional promoters and enhancers in the human genome,"Heintzman, Nathaniel D.; Stuart, Rhona K.; Hon, Gary; Fu, Yutao; Ching, Christina W.; Hawkins, R. David; Barrera, Leah O.; Van Calcar, Sara; Qu, Chunxu; Ching, Keith A.; Wang, Wei; Weng, Zhiping; Green, Roland D.; Crawford, Gregory E.; Ren, Bing",,,,NATURE GENETICS,Mar-07,2007,39,3,311,318,,10.1038/ng1966,1817,139.77,0,0,0,0,0,0,0,0,0,0,30,87,94,145,164,197,180,177,197,162,160
Cancer epigenetics comes of age,"Jones, PA; Laird, PW",,,,NATURE GENETICS,Feb-99,1999,21,2,163,167,,10.1038/5947,1776,84.57,0,0,29,93,134,178,150,122,122,123,121,102,74,90,70,85,53,52,55,37,43
Genome-wide association defines more than 30 distinct susceptibility loci for Crohn's disease,"Barrett, Jeffrey C.; Hansoul, Sarah; Nicolae, Dan L.; Cho, Judy H.; Duerr, Richard H.; Rioux, John D.; Brant, Steven R.; Silverberg, Mark S.; Taylor, Kent D.; Barmada, M. Michael; Bitton, Alain; Dassopoulos, Themistocles; Datta, Lisa Wu; Green, Todd; Griffiths, Anne M.; Kistner, Emily O.; Murtha, Michael T.; Regueiro, Miguel D.; Rotter, Jerome I.; Schumm, L. Philip; Steinhart, A. Hillary; Targan, Stephan R.; Xavier, Ramnik J.; Libioulle, Cecile; Sandor, Cynthia; Lathrop, Mark; Belaiche, Jacques; Dewit, Olivier; Gut, Ivo; Heath, Simon; Laukens, Debby; Mni, Myriam; Rutgeerts, Paul; Van Gossum, Andre; Zelenika, Diana; Franchimont, Denis; Hugot, Jean-Pierre; de Vos, Martine; Vermeire, Severine; Louis, Edouard; Cardon, Lon R.; Anderson, Carl A.; Drummond, Hazel; Nimmo, Elaine; Ahmad, Tariq; Prescott, Natalie J.; Onnie, Clive M.; Fisher, Sheila A.; Marchini, Jonathan; Ghori, Jilur; Bumpstead, Suzannah; Gwilliam, Rhian; Tremelling, Mark; Deloukas, Panos; Mansfield, John; Jewell, Derek; Satsangi, Jack; Mathew, Christopher G.; Parkes, Miles; Georges, Michel; Daly, Mark J.",NIDDK IBD Genetics Consortium; Belgian-French IBD Consortium; Wellcome Trust Case Control,,,NATURE GENETICS,Aug-08,2008,40,8,955,962,,10.1038/ng.175,1770,147.5,0,0,0,0,0,0,0,0,0,0,0,20,203,265,264,210,181,146,119,112,97
A unified mixed-model method for association mapping that accounts for multiple levels of relatedness,"Yu, JM; Pressoir, G; Briggs, WH; Bi, IV; Yamasaki, M; Doebley, JF; McMullen, MD; Gaut, BS; Nielsen, DM; Holland, JB; Kresovich, S; Buckler, ES",,,,NATURE GENETICS,Feb-06,2006,38,2,203,208,,10.1038/ng1702,1763,125.93,0,0,0,0,0,0,0,0,0,14,42,60,65,86,122,143,148,171,187,207,205
Deep surveying of alternative splicing complexity in the human transcriptome by high-throughput sequencing,"Pan, Qun; Shai, Ofer; Lee, Leo J.; Frey, J.; Blencowe, Benjamin J.",,,,NATURE GENETICS,Dec-08,2008,40,12,1413,1415,,10.1038/ng.259,1723,143.58,0,0,0,0,0,0,0,0,0,0,0,0,61,149,138,187,199,198,185,171,181
